H-d1,H-d2,H-d3,H-X,H-Y,R-d1,R-d2,R-d3,R-X,R-Y,D,H-AX,H-AY,R-AX,R-AY,AD,ABS(D-AD),Error %,
2.35,2.64,3.19,1.26,0.72,0.57,1.91,1.28,0.95,1.28,0.64,1,0,2,2,2.24,1.6,71.43,
2.35,2.64,3.19,1.26,0.72,0.57,1.91,1.28,0.95,1.28,0.64,1,0,2,2,2.24,1.6,71.43,
1.94,2.86,3.76,0.77,-0.23,0.68,1.91,1.39,0.97,1.25,1.5,1,0,2,2,2.24,0.74,33.04,
1.94,2.86,3.76,0.77,-0.23,0.68,1.91,1.39,0.97,1.25,1.5,1,0,2,2,2.24,0.74,33.04,
2.35,2.86,2.94,1.06,0.98,0.68,1.91,1.39,0.97,1.25,0.29,1,0,2,2,2.24,1.95,87.05,
2.35,2.86,2.94,1.06,0.98,0.57,1.91,2.29,0.95,0.68,0.32,1,0,2,2,2.24,1.92,85.71,
2.13,2.86,3.76,0.9,-0.1,0.57,1.91,2.29,0.95,0.68,0.78,1,0,2,2,2.24,1.46,65.18,
2.13,2.86,3.76,0.9,-0.1,0.52,1.91,2.49,0.94,0.51,0.62,1,0,2,2,2.24,1.62,72.32,
2.13,2.86,2.94,0.9,0.82,0.52,1.91,2.49,0.94,0.51,0.31,1.2,0.1,2,1.8,1.88,1.57,83.51,
2.13,2.86,2.94,0.9,0.82,0.57,1.76,1.64,1.04,1.1,0.31,1.2,0.1,2,1.8,1.88,1.57,83.51,
0.68,1.5,2.49,1.2,0.55,0.57,1.76,1.64,1.04,1.1,0.58,1.2,0.1,2,1.8,1.88,1.3,69.15,
0.68,1.5,2.49,1.2,0.55,0.62,2.07,1.94,0.85,0.94,0.53,1.2,0.1,2,1.8,1.88,1.35,71.81,
0.68,2.43,4.09,0.59,-1.21,0.62,2.07,1.94,0.85,0.94,2.16,1.2,0.1,2,1.8,1.88,0.28,14.89,
0.68,2.43,4.09,0.59,-1.21,0.57,2.07,1.51,0.84,1.17,2.39,1.2,0.1,2,1.8,1.88,0.51,27.13,
0.68,2.43,4.09,0.59,-1.21,0.57,2.07,1.51,0.84,1.17,2.39,1.2,0.1,2,1.8,1.88,0.51,27.13,
0.43,1.5,1.64,1.16,1.08,0.47,1.5,1.28,1.16,1.26,0.18,1.2,0.1,2,1.8,1.88,1.7,90.43,
0.43,1.5,1.64,1.16,1.08,0.47,1.5,1.28,1.16,1.26,0.18,1.2,0.1,2,1.8,1.88,1.7,90.43,
0.32,3.1,1.09,-0.08,1.32,0.83,1.27,2.11,1.34,0.87,1.5,1.2,0.1,2,1.8,1.88,0.38,20.21,
0.32,3.1,1.09,-0.08,1.32,0.83,1.27,2.11,1.34,0.87,1.5,1.2,0.1,2,1.8,1.88,0.38,20.21,
0.32,2.43,1.18,0.53,1.29,0.47,1.38,1.39,1.22,1.21,0.69,1.2,0.1,2,1.8,1.88,1.19,63.3,
0.32,2.43,1.18,0.53,1.29,0.47,1.38,1.39,1.22,1.21,0.69,1.2,0.1,2,1.8,1.88,1.19,63.3,
0.29,2.64,1.18,0.36,1.28,0.39,1.08,1,1.33,1.36,0.98,1.2,0.1,2,1.8,1.88,0.9,47.87,
0.29,2.64,1.18,0.36,1.28,0.39,1.08,1,1.33,1.36,0.98,1.2,0.1,2,1.8,1.88,0.9,47.87,
0.35,1.5,2.29,1.15,0.65,0.52,1.27,1,1.27,1.38,0.74,1.4,0.2,2,1.6,1.52,0.78,51.32,
0.35,1.5,2.29,1.15,0.65,0.52,1.27,1,1.27,1.38,0.74,1.4,0.2,2,1.6,1.52,0.78,51.32,
0.47,1.91,2.49,0.93,0.51,0.52,1.62,1.39,1.1,1.22,0.74,1.4,0.2,2,1.6,1.52,0.78,51.32,
0.47,1.91,2.49,0.93,0.51,0.52,1.62,1.39,1.1,1.22,0.74,1.4,0.2,2,1.6,1.52,0.78,51.32,
0.68,3.1,2.29,-0.02,0.7,0.52,1.62,1.39,1.1,1.22,1.24,1.4,0.2,2,1.6,1.52,0.28,18.42,
0.68,3.1,2.29,-0.02,0.7,0.68,1.62,2.11,1.14,0.84,1.17,1.4,0.2,2,1.6,1.52,0.35,23.03,
0.43,1.38,1.94,1.21,0.9,0.68,1.62,2.11,1.14,0.84,0.1,1.4,0.2,2,1.6,1.52,1.42,93.42,
0.43,1.38,1.94,1.21,0.9,0.47,2.07,1.79,0.82,1.01,0.4,1.4,0.2,2,1.6,1.52,1.12,73.68,
1.33,3.64,2.11,-0.42,1.05,0.47,2.07,1.79,0.82,1.01,1.24,1.4,0.2,2,1.6,1.52,0.28,18.42,
1.33,3.64,2.11,-0.42,1.05,0.39,1.27,1.79,1.25,0.99,1.67,1.4,0.2,2,1.6,1.52,0.15,9.87,
